Policy,Tag,Net Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2
Prohibit transgender women from competing in women’s sports,143,41,1,"Some Republicans in the Trump administration are proposing to ban transgender women from competing in women's sports. Under this policy, the Trump administration will roll back federal protections that allow transgender athletes to compete in leagues that correspond to their gender after transitioning.",Democrats oppose this policy because they say it would lead to discrimination and unequal treatment of LGBTQ people.,Democrats oppose this policy because they say banning trans athletes reinforces harmful stereotypes and stigmatizes an already marginalized group.,"Republicans support this policy because they say it protects personal freedom, rolls back federal government overreach, and protects parents' rights.",Republicans support this policy because they say banning trans athletes is essential to ensure that women have equal opportunities for success and recognition in sports.
Expand prescription drug negotiation beyond Medicare,75,38,0.75,"Some Democrats in Congress have proposed allowing Medicare to negotiate with pharmaceutical companies to lower prescription drug prices. Under this policy, drug companies would be required to sell their medications to all Americans at the lower prices negotiated by Medicare.",Democrats support this policy because they say that prescription drugs have become unaffordable for many Americans. They say this policy will ensure that no American has to go without medicine they need because they can’t pay for it.,Democrats support this policy because they say that voters and politicians from both parties agree that we need to lower prescription drug prices for our seniors.,Republicans oppose this policy because they say government price controls will reduce pharmaceutical innovation and lead to fewer new medications being developed to treat serious diseases.,Republicans oppose this policy because they say it represents government interference in the free market that will harm American competitiveness and medical advancement.
Eliminate taxes on Social Security benefits,57,37,0.75,"Some Republicans in the Trump administration are proposing to eliminate taxes on Social Security. Under this policy, the Trump administration will eliminate taxes on Social Security benefits.",Democrats oppose this policy because they say it would limit essential government services and increase the federal deficit.,"Democrats oppose this policy because taxes on Social Security for those who make over a certain amount of money are essential for funding Social Security for future generations, and eliminating taxes would endanger those benefits in the future.",Republicans support this policy because it would help keep seniors financially secure in their retirement.,Republicans support this policy because eliminating taxes on Social Security would provide seniors with more financial security and help reduce poverty among retirees.
"Cut taxes by 3% on all Americans making less than $100,000 a year",42,35,0.75,"Some Republicans in Congress have proposed cutting taxes on Americans making less than $100,000 a year by 3%.","Democrats oppose this policy because they say it will massively increase the national debt, and lead to less money for infrastructure, health care, and education.","Democrats oppose this policy because they say it will lead to less funding for critical programs, including health care, infrastructure, and education.","Republicans support this policy because they say middle class Americans deserve to keep more of their hard earned money, especially with the cost of living on the rise.",Republicans support this policy because they say letting hard working Americans keep more of their money will stimulate the economy and create jobs.
Ban congressional stock trading,12,34,0.75,"Some Democrats in Congress have proposed preventing members of Congress and their families from trading stocks. Under this policy, lawmakers would be prohibited from buying or selling stocks while in office and would forfeit their salaries if they use insider information for stock purchases.",Democrats support this policy because they say that this is a common sense proposal supported by both Democrats and Republicans. They say we can all agree that Congressmen shouldn’t be getting rich off of their position.,Democrats support this policy because they say this bill will reduce corruption. They say that a ban on stock trading will ensure that Congressmen don’t pass laws to help companies just because they have stock in them.,Republicans oppose this policy because they say it unfairly restricts the financial freedom of public servants who already sacrifice lucrative private sector opportunities to serve in government.,"Republicans oppose this policy because they say it creates bureaucratic restrictions that will deter qualified candidates from running for office, leading to worse government."
Crack down on websites that allow minors to view pornography,28,34,0.75,"Some Democrats in Congress have proposed preventing pornography companies from showing explicit content to minors. Under this policy, age verification would be required on pornographic websites and companies would face substantial fines if they fail to block access to those under 18.",Democrats support this policy because they say that our kids shouldn’t be exposed to pornography at such young ages. They say that internet porn is having a bad effect on today’s youth.,"Democrats support this policy because they say pornography distorts young people's understanding of healthy relationships and sexuality, and children should be protected from explicit content.",Republicans oppose this policy because they say that this will mean more unnecessary regulation and more government overreach into the free market,Republicans oppose this policy because they say that the government should not be interfering with private businesses or with decisions that Americans make for themselves.
Expand Medicaid in states that haven't adopted ACA expansion,70,33,0.75,"Some Democrats in Congress have proposed expanding Medicaid coverage in the 10 states that have not adopted Medicaid expansion under the Affordable Care Act. Under this policy, the government would spend $15 billion annually to provide health insurance to approximately 1.5 million low-income adults in these states through the Medicaid insurance program.","Democrats support this policy because they say Medicaid is a cost-effective program, and this policy would provide life-saving healthcare to vulnerable Americans who cannot otherwise afford it.",Democrats support this policy because they say healthcare is a right that should be available to all Americans regardless of what state they live in.,Republicans oppose this policy because they say it forces federal control over state healthcare decisions and expands a broken system that drives up costs without improving care.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Require IDs and proof of citizenship to vote,176,33,1,"Some Republicans in the Trump administration are proposing to require voter IDs and proof of citizenship to vote. Under this policy, the Trump administration would require voters to provide proof of citizenship when registering to vote and voter ID when voting.","Democrats oppose this policy because they say it would restrict important freedoms, like the right to vote, for marginalized communities.","Democrats oppose this policy because they say it would disenfranchise marginalized communities, particularly those without easy access to identification.","Republicans support this policy because they say it would increase election integrity with a basic, common-sense solution.",Republicans support this policy because they say it would decrease voter fraud.
Expand Medicare prescription drug pricing to 25 drugs,71,31,0.75,"Some Democrats in Congress have proposed expanding Medicare's prescription drug negotiation program. Under this policy, the government would increase the number of drugs Medicare can negotiate pricing for from 10 to 25 of the most expensive medications.",Democrats support this policy because they say it will lower drug costs for more seniors and save billions in healthcare spending while ensuring pharmaceutical companies can't price-gouge vulnerable Americans.,Democrats support this policy because they say that pharmaceutical companies have exploited americans for too long and that everyone from Bernie Sanders to Donald Trump recognizes the need for action to reduce prescription drug prices.,"Republicans oppose this policy because they say expanded price controls will lead pharmaceutical companies to cut research spending and move operations overseas, resulting in fewer medical breakthroughs.","Republicans oppose this policy because they say market competition, not government mandates, is the best way to lower drug prices while maintaining innovation."
Expand mental health care programs for veterans,73,31,0.75,"Some Democrats in Congress have proposed spending $5 billion a year to expand mental health care services for veterans. This funding would be used to hire additional mental health professionals at the Department of Veterans Affairs, increase access to counseling and therapy, and develop specialized programs to address issues such as post-traumatic stress disorder (PTSD) and substance abuse among veterans.","Democrats support this policy because they say we have a sacred obligation to care for those who have served our country, and mental health challenges are among the most serious issues veterans face after deployment.","Democrats support this policy because they say no veteran should suffer alone after sacrificing for our nation, and comprehensive mental healthcare is essential for their wellbeing.",Republicans oppose this policy because they say we shouldn't be spending billions on unnecessary programs with inflation and the national debt already too high.,"Republicans oppose this policy because they say spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Ban gender-affirming care for minors,15,30,1,"Some Republicans in the Trump administration are proposing to ban doctors from performing gender-affirming care for minors. Under this policy, the Trump administration will prevent doctors from prescribing puberty blockers or conducting surgeries to treat gender dysphoria.",Democrats oppose this policy because they say it would lead to discrimination and unequal treatment of LGBTQ people.,"Democrats oppose this policy because they say banning gender-affirming care for minors would be a government overstep into patients' private medical decisions, overriding doctors' abilities to treat minors based on their own expertise.","Republicans support this policy because they say it protects personal freedom, rolls back federal government overreach, and protects parents' rights.","Republicans support this policy because they say it is necessary to protect children from making irreversible decisions about their gender before reaching adulthood, since minors may not fully understand the long-term consequences of such decisions."
Increase police funding,107,30,0.75,"Some Republicans in the Trump administration have proposed a bill that would increase funding for the police. Under this bill, the federal government would provide an additional $25 billion a year to local governments to hire more police officers.",Democrats oppose this policy because they say we should invest in prevention and community services rather than just adding more police officers.,"Democrats oppose this policy because they say we need police reform that reduces police violence against unarmed civilians, not just more funding for police.",Republicans support this policy because they say more officers on the streets will reduce crime and make communities safer.,"Republicans support this policy because they say law enforcement needs more resources to protect public safety, especially with crime on the rise."
Lower the gas tax by 10 cents per gallon,121,30,0.75,Some Republicans in the Trump administration are proposing to reduce the federal gas tax by 10 cents per gallon. Under this policy the gas tax would be lowered from 18.4 to 8.4 cents a gallon.,"Democrats oppose this policy because they say it would result in more fossil fuel use, contributing to more carbon emissions and worsening climate change.","Democrats oppose this policy because they say the gas tax provides essential funding for our nation's infrastructure, and cutting it will mean less funding for roads and bridges.",Republicans support this policy because they say it would provide immediate relief to working families struggling with high gas prices and inflation.,"Republicans support this policy because they say Americans deserve to keep more of their hard-earned money, especially with gas prices already too high."
Prevent any cuts to Social Security and Medicare,135,29,1,"Some Democrats in Congress have proposed preventing any reductions to Social Security and Medicare benefits. Under this policy, funding and benefit levels for these programs would be guaranteed to remain at least at current levels.","Democrats support this policy because they say seniors deserve the benefits they've earned through a lifetime of work, and these essential programs should be strengthened, not cut.","Democrats support this policy because they say we shouldn't be cutting programs that our seniors have paid into their entire lives, and which help millions of elderly Americans.","Republicans oppose this policy because they say preventing any reforms or adjustments to these programs ignores fiscal reality and ensures they will become insolvent, hurting future beneficiaries.",Republicans oppose this policy because they say responsible changes are needed to preserve these important programs for future generations rather than maintaining an unsustainable status quo.
"Expand Medicare to cover dental, vision, and hearing",72,27,0.75,"Some Democrats in Congress have proposed spending $35 billion a year to expand the benefits offered by the Medicare program, which provides health insurance to Americans over the age of 65. Under this policy, Medicare would begin covering the costs of dental care, vision assistance, and hearing aids for senior citizens.

",Democrats support this policy because they say it will improve the health and quality of life for millions of seniors who currently struggle to afford these essential healthcare services.,"Democrats support this policy because they say that seniors have paid into Medicare their entire working lives, and they deserve to have their healthcare needs provided for.",Republicans oppose this policy because they say it would add hundreds of billions to the deficit while expanding Medicare at a time when the program already faces serious financial challenges.,Republicans oppose this policy because they say it represents another expensive government expansion that America cannot afford.
End all government benefits for undocumented immigrants,61,26,0.75,"Some Republicans in the Trump administration are proposing to end all federal benefits for undocumented immigrants. Under this policy, the Trump administration will require verification of legal status before any person can receive federal assistance or benefits.",Democrats oppose this policy because they say it is cruel and goes against American values.,Democrats oppose this policy because they say it will hurt vulnerable families and children who rely on basic services like emergency medical care and school lunches.,Republicans support this policy because they say taxpayer money should only go to legal residents and that benefits encourage illegal immigration.,Republicans support this policy because they say we need to put American citizens first.
Impose work requirements on Medicaid,96,26,0.75,"Some Republicans in the Trump administration are proposing to impose work requirements for Medicaid. Under this policy, the Trump administration would require able-bodied, working-age individuals to find employment, train for work, or volunteer in order to receive Medicaid.","Democrats oppose this policy because they say work requirements to access Medicaid would limit essential healthcare to vulnerable individuals who are unable to work, like those with disabilities or with caregiving responsibilities.",Democrats oppose this policy because they say it would limit and reduce the quality of care for many individuals who rely on Medicaid.,"Republicans support this policy because they say work requirements to access Medicaid would reduce dependency on government assistance, lowering federal spending.",Republicans support this policy because they say reforms are needed to make Medicaid more sustainable and reduce overall government spending.
Raise the top marginal tax rate by 3%,154,26,0.75,"Some Democrats in Congress have proposed increasing the top marginal tax rate from 37% to 40% for the highest-income Americans. Under this policy individuals earning more than $625,000 and couples earning more than $750,000 would have their tax rate raised by 3%.",Democrats support this policy because they say the wealthiest Americans should pay their fair share in taxes.,"Democrats support this policy because they say we need a tax system that works for everyone, not just the wealthy.",Republicans oppose this bill because they say raising taxes on job creators would hurt economic growth.,Republicans oppose this bill because they say the government already takes too much from successful Americans.
Deploy the military to help with border security,49,25,1,Some Republicans in the Trump administration are proposing to expand the military's role in border security operations. Under this policy the Trump administration will direct the military to combat illegal migration drug trafficking and human smuggling at the border.,Democrats oppose this policy because they say using military forces for domestic law enforcement violates long-standing US laws and could lead to dangerous confrontations with civilians.,Democrats oppose this policy because they say it represents a dangerous militarization of our immigration system.,Republicans support this policy because they say we must use all available resources to protect our nation's sovereignty and security.,Republicans support this policy because they say the border situation has become so severe that we need military resources and personnel to properly secure it and support overwhelmed border agents.
Increase Social Security benefits for low-income seniors,112,24,0.75,"Some Democrats in Congress have proposed spending $35 billion dollars a year to increase Social Security benefits for low-income seniors. Under this bill, seniors living on less than $30,000 a year would have their Social Security benefits increased by $2,000 a year. 
","Democrats support this policy because they say it will help America's most vulnerable seniors afford basics like food, housing, and medicine after a lifetime of work and contribution to our country.","Democrats support this policy because they say that with the cost of living on the rise, our most vulnerable seniors deserve additional support.","Republicans oppose this policy because they say Social Security is already facing funding shortfalls, and increasing benefits without addressing the program's solvency will make it go bankrupt faster.",Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
End “catch-and-release” for undocumented immigrants apprehended at the border,60,23,1,"Some Republicans in the Trump administration are proposing to end catch and release immigration policies. Under this policy the Trump administration will detain all migrants who enter illegally, rather than releasing them to await hearings.",Democrats oppose this policy because they say it would require massive expensive detention facilities and separate families while violating due process rights.,Democrats oppose this policy because they say it represents inhumane treatment of migrants seeking safety.,Republicans support this policy because they say we need strict enforcement of our immigration laws.,Republicans support this policy because they say releasing migrants into the US encourages illegal immigration and many never show up for their court dates.
Impose harsher penalties on disorderly conduct on public transportation,95,23,0.5,"Some Republicans in the Trump administration are proposing providing additional funding to states that impose harsher penalties for disorderly conduct on public transportation. Under this policy the Trump administration will reward states that expand police officers' authority to arrest people who are disorderly, or seem aggressive or unstable while using public transportation, like buses, trains, or subways.",Democrats oppose this policy because they say it would increase police violence and lead to police officers disproportionately targeting minorities.,Democrats oppose this policy because they say it threatens civil liberties by giving the police power to arrest anyone even if they haven't committed a crime.,Republicans support this policy because they say we need to restore law and order and crack down on rising crime and chaos.,"Republicans support this policy because they say with crime on the rise, public safety must be the top priority to protect citizens and public spaces."
Raise the minimum wage to $12 an hour,151,22,0.75,Some Democrats in Congress have proposed raising the federal minimum wage to $12 per hour over six years. Under this policy the minimum wage would gradually increase from the current $7.25 rate.,Democrats support this policy because they say increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"Democrats support this policy because they say no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",Republicans oppose this bill because they say it would force small businesses to cut jobs and raise prices for consumers.,Republicans oppose this bill because they say government mandates hurt businesses and hurt workers by killing entry-level jobs.
Shut down asylum requests at the border,183,22,1,"Some Republicans in the Trump administration are proposing to end asylum requests at the U.S.-Mexico border. Under this policy, the Trump administration would require that asylum-seekers from Mexico wait in the country while awaiting hearings in U.S. immigration court.","Democrats oppose this policy because they say that it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",Democrats oppose this policy because they say a shut down of asylum requests at the border would lead to the separation of families and inhumane treatment of people escaping dangerous situations.,Republicans support this policy because they say that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,"Republicans support this policy because they say it would strengthen our Southern border, making the country safer and reducing the burden of the migrant crisis on American communities."
Prohibit K-3 teachers from discussing LGBTQ issues with their students,140,20,0.75,"Some Republicans in Congress are proposing a bill that would restrict what topics public school teachers are allowed to discuss with their younger students. Under this bill, teachers of Kindergarten to 3rd graders would not be allowed to discuss issues relating to gay, lesbian, or transgender Americans with their students.",Democrats say that you should oppose this bill because the government shouldn’t be telling public school teachers what they can’t say in class. This bill is government overreach: we need to trust our teachers.,"Democrats say that you should oppose this bill because these are important topics, and it’s critical that kids learn about them in school. We shouldn’t prevent topics from being taught about just because some people find them controversial.",Republicans support this policy because they say transgenderism and trans ideology is spreading far too rapidly among our children. We need to make sure that liberal teachers are not pushing this ideology on children and young people.,"Republicans support this policy because they say these ideas have no place in public schools. It should be up to parents, not the government, to decide how to talk to their young kids about these issues."
Crack down on estate tax evasion,27,18,0.5,"Some Democrats in Congress have proposed cracking down on estate tax evasion by billionaires. Under this policy the IRS would receive additional resources to scrutinize how the ultra-wealthy transfer assets to heirs, and ensure they are not violating tax laws.",Democrats support this policy because they say it's not right that billionaires exploit loopholes to avoid paying billions in taxes that could fund important programs.,"Democrats support this policy because they say everyone should play by the same rules and pay what they owe, and that includes billionaires.","Republicans oppose this bill because they say the estate tax unfairly taxes money that has already been taxed once, and hurts family businesses.",Republicans oppose this bill because they say the government shouldn't harass successful Americans with aggressive and unnecessary tax enforcement.
Eliminate taxes on tips,58,18,1,"Some Republicans in the Trump administration are proposing to exclude tips from federal taxes. Under this policy, the Trump administration will eliminate federal taxes on workers' tips.","Democrats oppose this policy because they say taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",Democrats oppose this policy because they say it would limit essential government services and increase the federal deficit.,Republicans support this policy because they say it would increase wages for workers.,Republicans support this policy because they say it would boost workers' income and help close the wage gap in service industries.
Increase criminal penalties for shoplifting,98,18,0.75,"Some Republicans in the Trump administration are proposing providing additional funding to states that increase the criminal penalties for shoplifting. Under this policy, the Trump administration will reward states that treat the theft of items worth more than $500 as a felony, and that require minimum jail sentences for repeat shoplifters.","Democrats oppose this policy because they say it would worsen mass incarceration by filling prisons with nonviolent offenders, while ignoring root causes of theft.","Democrats oppose this policy because they say it will not actually result in less shoplifting. They say we need rehabilitation, not more punishment, to reduce crime.",Republicans support this policy because they say harsher penalties will help deter the waves of organized retail theft we've seen in recent years.,"Republicans support this policy because they say we must protect businesses and consumers from criminals, especially with crime on the rise."
Protect interstate abortion access,144,18,0.5,"Some Democrats in Congress have proposed protecting interstate abortion access. Under this policy states where abortion is illegal would not be allowed to block women from traveling to seek abortions, consulting with doctors in other states on the phone, or receiving abortion medications in the mail.",Democrats support this policy because they say women shouldn't face prosecution for crossing state lines to access legal healthcare.,Democrats support this policy because they say blocking women from traveling to other states is unconstitutional and violates personal freedoms.,Republicans oppose this bill because they say it undermines the ability of states to make their own laws about abortion access.,Republicans oppose this bill because they say abortion is wrong and this bill will lead to more unborn children being aborted.
Rename the Gulf of Mexico and Mt. Denali,162,18,0.25,Some Republicans in the Trump administration are proposing to rename the Gulf of Mexico to Gulf of America and change back the name of Denali to Mount McKinley in Alaska. Under this policy the Trump administration will change these geographic names through executive order.,Democrats oppose this policy because they say it represents disrespect for other cultures and history.,Democrats oppose this policy because they say it disrespects Native American heritage and neighboring countries while wasting government resources on unnecessary changes.,Republicans support this policy because they say we should celebrate American identity.,Republicans support this policy because they say these American geographic features should have American names that reflect our nation's heritage and sovereignty.
Require financial disclosures from Elon Musk,175,18,0.75,"Some Democrats in Congress have proposed requring Elon Musk to disclose potential conflicts of interest between his government work and business activities. Under this policy, Musk, who is the head of the Department of Government Efficiency (DOGE), would have to report any financial connections that could influence his official decisions.",Democrats support this policy because they say government officials should be transparent about their financial interests to ensure they're serving the public good rather than their own business interests.,Democrats support this policy because they say accountability and transparency are essential when private sector leaders take on government roles with significant influence.,Republicans oppose this policy because they say it unfairly targets a successful businessman who is volunteering his time and expertise to help make government more efficient and save taxpayer dollars.,Republicans oppose this policy because they say it would discourage qualified business leaders from serving in government and represents Democrats' attempt to obstruct meaningful government reform.
Extend the Trump 2017 tax cut for high earners,80,17,0.75,"Some Republicans in the Trump administration are proposing to make permanent and expand the 2017 tax cuts for high-income earners. Under this policy, the Trump administration will extend tax cuts that provide an average $60,300 benefit to the top 1% of households.",Democrats oppose this policy because they say it increases the deficit to benefit the wealthy.,Democrats oppose this policy because they say these tax cuts give massive breaks to billionaires while the middle class only gets about $660 on average.,Republicans support this policy because they say lower taxes on job creators and investors will boost economic growth and create opportunities for all Americans.,"Republicans support this policy because they say we need to reward success and encourage investment.,"
Define sex as binary and based on biology at birth across federal agencies,47,16,0.75,Some Republicans in the Trump administration are proposing to establish strict biological sex definitions for the federal government. Under this policy the Trump administration will define sex as binary and based on biology at birth across federal agencies.,Democrats oppose this policy because they say it represents government overreach into personal identity and medical decisions.,Democrats oppose this policy because they say it discriminates against transgender Americans and ignores modern medical understanding of gender identity.,Republicans support this policy because they say we need common sense policies based on biological reality.,Republicans support this policy because they say clear biological definitions are needed to protect women's sports and spaces and prevent confusion in federal policies.
Make AI developers liable for harms caused by their models,124,16,0.5,"Some Democrats in Congress have proposed holding Artificial Intelligence companies legally liable for harmful actions committed by Artificial Intelligence systems they have developed. Under this bill, if crime, fraud, or other harm is committed by an individual using an Artificial Intelligence system, the company that developed it would be subject to fines and legal action.",Democrats support this policy because they say it will reduce the chances of harmful consequences from artificial intelligence systems by giving companies developing these systems an incentive to be careful.,"Democrats support this policy because they say we need to protect the public from potential harm caused by Artificial Intelligence systems, such as biased decision-making, invasion of privacy, and fraud such as identity theft.",Republicans oppose this policy because they say holding Artificial Intelligence companies legally liable for their systems' actions will discourage innovation and reduce technological progress.,"Republicans oppose this policy because they say more regulations would put U.S. firms at a competitive disadvantage, allowing foreign companies to take the lead in Artificial Intelligence development."
"Police reform (banning chokeholds, increasing misconduct investigations, stricter rules on use of force)",134,15,0.75,"Some Democrats in Congress have proposed a bill to reform policing. This policy would create stricter rules on use of force by police officers, require that all police officers wear body cameras, and increase investigations into police department misconduct.",Democrats support this policy because they say it would increase accountability and prevent discriminatory policing and excessive force.,Democrats support this policy because they say these are modest reforms that will improve the safety of civilians while not hindering police officers from doing their jobs.,Republicans oppose this bill because they say it would make officers hesitate in dangerous situations and embolden criminals.,Republicans oppose this bill because they say we shouldn't be undermining law enforcement with crime on the rise.
Free school lunch (universal),88,14,0.75,"Some Democrats in Congress have proposed spending $6 billion a year to make school lunch free for all K-12 public school students. Under this policy every student would receive free meals, regardless of income.","Democrats support this policy because they say with inflation on the rise, helping working families afford school lunch will make it easier for them to get by.","Democrats support this policy because they say every child deserves healthy meals, and when kids aren't hungry they do better in school.",Republicans oppose this bill because they say it would waste money feeding children from families who can afford lunch.,Republicans oppose this bill because they say we shouldn't be spending billions on new programs when the national debt is already too high.
