Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
Defund Planned Parenthood,Republican,,48,,-18,59,40,59,40,59,1,"Some Republicans in the Trump administration are proposing to prohibit Planned Parenthood from receiving federal funds. Under this policy, the Trump administration will ensure that Planned Parenthood is no longer able to access Medicaid funds, grants, or any other federal support.",it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Americans should be allowed to use the benefits they've paid for to make their own medical decisions, without government interference.","that states should be the ones to decide abortion laws, not the federal government.",taxpayer money should not be going towards abortions when many taxpayers do not support them.,"that states should be the ones to decide abortion laws, not the federal government.",taxpayer money should not be going towards abortions when many taxpayers do not support them.,it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Americans should be allowed to use the benefits they've paid for to make their own medical decisions, without government interference.",-18.80%,59.40%,40.60%,59.40%,40.60%,59.40%
Repeal TikTok ban,Republican,,170,,1,49,50,50,50,49,0.75,"Some Republicans in the Trump administration are proposing to repeal the law requiring TikTok to be sold to an American company by January 2025, or else the app would be banned in the United States. Under this policy, the Trump administration will remove the requirements that the app be sold, and allow TikTok to continue operating in the United States regardless of its ownership.","the app poses a significant national security risk due to its ownership by China, with the app collecting vast amounts of personal data which could be exploited for espionage, particularly among young users.",Americans should not be using any foreign technology that could pose a national security risk or distribute foreign propaganda.,"it should be up to Americans on what technology they choose to use, and the U.S. should not be interfering with private digital platforms.","a TikTok ban would infringe on free speech and individual rights, setting a precedent for government overreach into private digital platforms and opening the door to further censorship.","it should be up to Americans on what technology they choose to use, and the U.S. should not be interfering with private digital platforms.","a TikTok ban would infringe on free speech and individual rights, setting a precedent for government overreach into private digital platforms and opening the door to further censorship.","the app poses a significant national security risk due to its ownership by China, with the app collecting vast amounts of personal data which could be exploited for espionage, particularly among young users.",Americans should not be using any foreign technology that could pose a national security risk or distribute foreign propaganda.,1.60%,49.20%,50.80%,50.80%,50.80%,49.20%
Ban gender-affirming care for minors,Republican,,15,,30,35,65,65,65,35,1,"Some Republicans in the Trump administration are proposing to ban doctors from performing gender-affirming care for minors. Under this policy, the Trump administration will prevent doctors from prescribing puberty blockers or conducting surgeries to treat gender dysphoria.",it would lead to discrimination and unequal treatment of LGBTQ people.,"banning gender-affirming care for minors would be a government overstep into patients' private medical decisions, overriding doctors' abilities to treat minors based on their own expertise.","it protects personal freedom, rolls back federal government overreach, and protects parents' rights.","it is necessary to protect children from making irreversible decisions about their gender before reaching adulthood, since minors may not fully understand the long-term consequences of such decisions.","it protects personal freedom, rolls back federal government overreach, and protects parents' rights.","it is necessary to protect children from making irreversible decisions about their gender before reaching adulthood, since minors may not fully understand the long-term consequences of such decisions.",it would lead to discrimination and unequal treatment of LGBTQ people.,"banning gender-affirming care for minors would be a government overstep into patients' private medical decisions, overriding doctors' abilities to treat minors based on their own expertise.",30.00%,35.00%,65.00%,65.00%,65.00%,35.00%
Prohibit transgender women from competing in women’s sports,Republican,,143,,40,29,70,70,70,29,1,"Some Republicans in the Trump administration are proposing to ban transgender women from competing in women's sports. Under this policy, the Trump administration will roll back federal protections that allow transgender athletes to compete in leagues that correspond to their gender after transitioning.",it would lead to discrimination and unequal treatment of LGBTQ people.,banning trans athletes reinforces harmful stereotypes and stigmatizes an already marginalized group.,"it protects personal freedom, rolls back federal government overreach, and protects parents' rights.",banning trans athletes is essential to ensure that women have equal opportunities for success and recognition in sports.,"it protects personal freedom, rolls back federal government overreach, and protects parents' rights.",banning trans athletes is essential to ensure that women have equal opportunities for success and recognition in sports.,it would lead to discrimination and unequal treatment of LGBTQ people.,banning trans athletes reinforces harmful stereotypes and stigmatizes an already marginalized group.,40.60%,29.70%,70.30%,70.30%,70.30%,29.70%
Protect interstate abortion access,Democratic,,144,,18,59,40,59,59,40,0.5,"Some Democrats in Congress have proposed protecting interstate abortion access. Under this policy states where abortion is illegal would not be allowed to block women from traveling to seek abortions, consulting with doctors in other states on the phone, or receiving abortion medications in the mail.",women shouldn't face prosecution for crossing state lines to access legal healthcare.,blocking women from traveling to other states is unconstitutional and violates personal freedoms.,it undermines the ability of states to make their own laws about abortion access.,abortion is wrong and this bill will lead to more unborn children being aborted.,women shouldn't face prosecution for crossing state lines to access legal healthcare.,blocking women from traveling to other states is unconstitutional and violates personal freedoms.,it undermines the ability of states to make their own laws about abortion access.,abortion is wrong and this bill will lead to more unborn children being aborted.,18.20%,59.10%,40.90%,59.10%,59.10%,40.90%
Reduce the independence of the Federal Reserve,Republican,,158,,-14,57,42,57,42,57,0.25,"Some Republicans in the Trump administration have proposed reducing the independence of the Federal Reserve, the central bank of the United States. Under this proposals, the president would have more influence over monetary policy decisions such as determining interest rates, and would be allowed to fire Federal Reserve appointees who had previously been confirmed by the Senate.",politicizing the Federal Reserve would lead to dangerous short-term thinking about interest rates tied to election cycles rather than economic stability.,central bank independence is essential for maintaining investor confidence and preventing political manipulation of the economy.,unelected Fed officials currently wield enormous power over the economy without adequate accountability to voters or their elected representatives.,"the Federal Reserve has repeatedly failed to prevent economic bubbles and recessions, and greater oversight is needed to ensure monetary policy serves the American people.",unelected Fed officials currently wield enormous power over the economy without adequate accountability to voters or their elected representatives.,"the Federal Reserve has repeatedly failed to prevent economic bubbles and recessions, and greater oversight is needed to ensure monetary policy serves the American people.",politicizing the Federal Reserve would lead to dangerous short-term thinking about interest rates tied to election cycles rather than economic stability.,central bank independence is essential for maintaining investor confidence and preventing political manipulation of the economy.,-14.40%,57.20%,42.80%,57.20%,42.80%,57.20%
Invest in reducing lead pollution,Democratic,,117,,13,56,43,56,56,43,0.5,"​Some Democrats in Congress have proposed spending $15 billion a year to reduce lead pollution nationwide in order to improve public health. Under this policy, the government would help replace lead pipes in drinking water systems, remove lead-based paint in older housing, and reduce lead pollution in soil.","this will reduce illness and help American families lead longer, healthier lives. They say that by improving health and childhood development it will help grow the economy faster.","clean water and safe housing are basic rights, and government has a responsibility to protect public health from environmental toxins.","state and local governments, not Washington bureaucrats, should determine how to address environmental issues in their communities.","spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.","this will reduce illness and help American families lead longer, healthier lives. They say that by improving health and childhood development it will help grow the economy faster.","clean water and safe housing are basic rights, and government has a responsibility to protect public health from environmental toxins.","state and local governments, not Washington bureaucrats, should determine how to address environmental issues in their communities.","spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",13.60%,56.80%,43.20%,56.80%,56.80%,43.20%
Cut the corporate tax rate to 18%,Republican,,43,,-9,54,45,54,45,54,0.5,"Some Republicans in the Trump administration are proposing to lower the corporate tax rate to 18%. Under this policy, the Trump administration would further cut the corporate tax rate from 21% to 18%, after a 2017 cut from 35% to 21% in Trump's first term.",that the wealthiest Americans and big corporations should pay their fair share in taxes like the rest of us.,"companies should pay their fair share in taxes, and a lower corporate tax rate would only help the rich get richer and raise the federal deficit.",it would promote economic growth and increase wages for workers.,"a lower corporate tax rate would help boost the economy, leading to more jobs and higher wages for workers.",it would promote economic growth and increase wages for workers.,"a lower corporate tax rate would help boost the economy, leading to more jobs and higher wages for workers.",that the wealthiest Americans and big corporations should pay their fair share in taxes like the rest of us.,"companies should pay their fair share in taxes, and a lower corporate tax rate would only help the rich get richer and raise the federal deficit.",-9.60%,54.80%,45.20%,54.80%,45.20%,54.80%
Cut federal funding for public schools teaching critical race theory,Republican,,38,,3,48,51,51,51,48,0.75,"Some Republicans in the Trump administration are proposing to cut federal funding for schools teaching critical race theory. Under this policy, the Trump administration would revoke federal funding for public schools that teach about racism and gender ideology.",it would increase inequality in education and reduce academic freedom in schools.,cutting federal funding would limit academic freedom and limit discussions on important social issues in schools.,it would reduce federal spending and decrease ideological division in public schools.,"it would create a more balanced educational environment, without teaching any divisive ideology.",it would reduce federal spending and decrease ideological division in public schools.,"it would create a more balanced educational environment, without teaching any divisive ideology.",it would increase inequality in education and reduce academic freedom in schools.,cutting federal funding would limit academic freedom and limit discussions on important social issues in schools.,3.20%,48.40%,51.60%,51.60%,51.60%,48.40%
Eliminate taxes on Social Security benefits,Republican,,57,,37,31,68,68,68,31,0.75,"Some Republicans in the Trump administration are proposing to eliminate taxes on Social Security. Under this policy, the Trump administration will eliminate taxes on Social Security benefits.",it would limit essential government services and increase the federal deficit.,"Democrats oppose this policy because taxes on Social Security for those who make over a certain amount of money are essential for funding Social Security for future generations, and eliminating taxes would endanger those benefits in the future.",Republicans support this policy because it would help keep seniors financially secure in their retirement.,Republicans support this policy because eliminating taxes on Social Security would provide seniors with more financial security and help reduce poverty among retirees.,Republicans support this policy because it would help keep seniors financially secure in their retirement.,Republicans support this policy because eliminating taxes on Social Security would provide seniors with more financial security and help reduce poverty among retirees.,it would limit essential government services and increase the federal deficit.,"Democrats oppose this policy because taxes on Social Security for those who make over a certain amount of money are essential for funding Social Security for future generations, and eliminating taxes would endanger those benefits in the future.",37.40%,31.30%,68.70%,68.70%,68.70%,31.30%
Make private Medicare Advantage plans the default for Medicare,Republican,,126,,-13,56,43,56,43,56,0.5,"Some Republicans in the Trump administration are proposing to make private Medicare Advantage plans the default option for Medicare healthcare plans. Under this policy, the Trump administration would elevate private Medicare Advantage plans as the primary insurance coverage for seniors, instead of the traditional Medicare plan administered by the federal government.",Democrats oppose this policy because they believe it will raise healthcare costs and reduce the quality of care for millions of seniors.,"Democrats oppose this policy because they argue that privatizing Medicare would end traditional Medicare, leading to higher costs and fewer healthcare options for seniors.",Republicans support this policy because they believe reforms are needed to make Medicare more sustainable and reduce overall government spending.,Republicans support this policy because they argue that using private plans instead of government-run Medicare will cut government costs and make healthcare more efficient for seniors.,Republicans support this policy because they believe reforms are needed to make Medicare more sustainable and reduce overall government spending.,Republicans support this policy because they argue that using private plans instead of government-run Medicare will cut government costs and make healthcare more efficient for seniors.,Democrats oppose this policy because they believe it will raise healthcare costs and reduce the quality of care for millions of seniors.,"Democrats oppose this policy because they argue that privatizing Medicare would end traditional Medicare, leading to higher costs and fewer healthcare options for seniors.",-13.20%,56.60%,43.40%,56.60%,43.40%,56.60%
Extend date of TikTok sale,Republican,,79,,16,41,58,58,58,41,0.5,Some Republicans in the Trump administration are proposing to give Chinese-owned TikTok more time to arrange a sale to US buyers. Under this policy the Trump administration will delay implementing a ban to allow more time for a deal.,it represents chaotic policymaking.,Democrats oppose this policy because they believe it undercuts bipartisan consensus for stringent tech oversight against Chinese surveillance.,we need a smart approach to Chinese-owned technology.,giving more time for a US company to buy TikTok is better than an immediate ban that could face legal challenges.,we need a smart approach to Chinese-owned technology.,giving more time for a US company to buy TikTok is better than an immediate ban that could face legal challenges.,it represents chaotic policymaking.,Democrats oppose this policy because they believe it undercuts bipartisan consensus for stringent tech oversight against Chinese surveillance.,16.80%,41.60%,58.40%,58.40%,58.40%,41.60%
Eliminate the Department of Education,Republican,,59,,-6,53,47,53,47,53,0.75,"Some Republicans in the Trump administration are proposing to eliminate the Department of Education. Under this policy, the Trump administration would dismantle the Department of Education, transferring authority over educational standards, funding, and policies to state governments.","the government should provide a baseline standard for education, so all Americans have a similar opportunity to succeed.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,"that eliminating the Department of Education would return control of education to local communities, increasing accountability in schools.",it would reduce federal spending and the deficit and restore control over education to states and local communities.,"that eliminating the Department of Education would return control of education to local communities, increasing accountability in schools.",it would reduce federal spending and the deficit and restore control over education to states and local communities.,"the government should provide a baseline standard for education, so all Americans have a similar opportunity to succeed.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,-6.00%,53.00%,47.00%,53.00%,47.00%,53.00%
Phase out Title 1 funding for low income school districts,Republican,,133,,-9,54,45,54,45,54,0.5,"Some Republicans in the Trump administration are proposing to phase out Title I funding for low-income school districts. Under this policy, the Trump administration would reduce Title I funding and allocate funding to states as block grants, giving states full discretion over how to distribute resources to local school districts.","Title I funding is crucial for providing resources to low-income students and schools, ensuring everyone has access to good education.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,phasing out Title I funding in education would reduce federal spending and prevent funding from going disproportionately to big-city public schools.,it would reduce federal spending and the deficit and restore control over education to states and local communities.,phasing out Title I funding in education would reduce federal spending and prevent funding from going disproportionately to big-city public schools.,it would reduce federal spending and the deficit and restore control over education to states and local communities.,"Title I funding is crucial for providing resources to low-income students and schools, ensuring everyone has access to good education.",Democrats oppose this policy because they believe it would cut support for low-income students and increase inequality in education.,-9.20%,54.60%,45.40%,54.60%,45.40%,54.60%
Prohibit K-3 teachers from discussing LGBTQ issues with their students,Republican,,140,,19,40,59,59,59,40,0.75,"Some Republicans in Congress are proposing a bill that would restrict what topics public school teachers are allowed to discuss with their younger students. Under this bill, teachers of Kindergarten to 3rd graders would not be allowed to discuss issues relating to gay, lesbian, or transgender Americans with their students.",the government shouldn’t be telling public school teachers what they can’t say in class. This bill is government overreach: we need to trust our teachers.,"Democrats say that you should oppose this bill because these are important topics, and it’s critical that kids learn about them in school. We shouldn’t prevent topics from being taught about just because some people find them controversial.",transgenderism and trans ideology is spreading far too rapidly among our children. We need to make sure that liberal teachers are not pushing this ideology on children and young people.,"these ideas have no place in public schools. It should be up to parents, not the government, to decide how to talk to their young kids about these issues.",transgenderism and trans ideology is spreading far too rapidly among our children. We need to make sure that liberal teachers are not pushing this ideology on children and young people.,"these ideas have no place in public schools. It should be up to parents, not the government, to decide how to talk to their young kids about these issues.",the government shouldn’t be telling public school teachers what they can’t say in class. This bill is government overreach: we need to trust our teachers.,"Democrats say that you should oppose this bill because these are important topics, and it’s critical that kids learn about them in school. We shouldn’t prevent topics from being taught about just because some people find them controversial.",19.60%,40.20%,59.80%,59.80%,59.80%,40.20%
End DACA,Republican,,62,,-1,50,49,50,49,50,0.75,"Some Republicans in the Trump administration are proposing to end the Deferred Action for Childhood Arrivals (DACA) program. Under this policy, the Trump administration would rescind work permits and residency protections for undocumented immigrants who were brought to the United States as children by their parents.","we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.",deporting DACA-recipients would uproot the lives of people who have built their lives and contributed to the U.S. since childhood and harm many industries that would lose these skilled workers.,"it would reduce the incentive for immigrants to come to the U.S. illegally, decreasing unlawful immigration and protecting good-paying jobs for American citizens.",it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.,"it would reduce the incentive for immigrants to come to the U.S. illegally, decreasing unlawful immigration and protecting good-paying jobs for American citizens.",it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.,"we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.",deporting DACA-recipients would uproot the lives of people who have built their lives and contributed to the U.S. since childhood and harm many industries that would lose these skilled workers.,-1.60%,50.80%,49.20%,50.80%,49.20%,50.80%
Shut down DOGE,Democratic,,184,,0,50,49,50,50,49,0.25,"Some Democrats in Congress have proposed shutting down ""DOGE,"" also known as the Department of Government Efficiency. DOGE is a recently established government agency overseen by Elon Musk. Under this bill, DOGE would be shut down, and would no longer be authorized to make changes to government spending, hiring, or regulations.",DOGE operates without proper oversight or transparency and gives unelected officials too much power to make decisions that should be made by Congress.,"DOGE is threatening essential programs that millions of Americans rely on, like Medicaid, Medicare, and Social Security.",it would protect wasteful government bureaucracy from much-needed reform and stop efforts to make government work more efficiently for taxpayers.,we are trillions of dollars in debt and we need efforts like DOGE to cut wasteful spending and balance our budget.,DOGE operates without proper oversight or transparency and gives unelected officials too much power to make decisions that should be made by Congress.,"DOGE is threatening essential programs that millions of Americans rely on, like Medicaid, Medicare, and Social Security.",it would protect wasteful government bureaucracy from much-needed reform and stop efforts to make government work more efficiently for taxpayers.,we are trillions of dollars in debt and we need efforts like DOGE to cut wasteful spending and balance our budget.,0.80%,50.40%,49.60%,50.40%,50.40%,49.60%
Prevent DOGE from cutting spending without Congressional approval,Democratic,,136,,6,53,46,53,53,46,0.25,"Some Democrats in Congress have proposed requiring the Department of Government Efficiency (DOGE) to obtain Congressional approval before cutting federal spending. Under this policy, DOGE would not be allowed to cut government spending without authorization from lawmakers.",it preserves the constitutional authority of Congress over federal spending and prevents unelected officials from making cuts that could harm essential services.,"DOGE shouldn't be allowed to cut programs without Congressional approval, because that would mean DOGE could cut Medicaid, Medicare, or Social Security.",it would maintain wasteful bureaucracy by allowing career politicians to block efficiency reforms that threaten their pet projects and special interests.,it would render DOGE ineffective at its core mission of streamlining government and reducing unnecessary spending that burdens taxpayers.,it preserves the constitutional authority of Congress over federal spending and prevents unelected officials from making cuts that could harm essential services.,"DOGE shouldn't be allowed to cut programs without Congressional approval, because that would mean DOGE could cut Medicaid, Medicare, or Social Security.",it would maintain wasteful bureaucracy by allowing career politicians to block efficiency reforms that threaten their pet projects and special interests.,it would render DOGE ineffective at its core mission of streamlining government and reducing unnecessary spending that burdens taxpayers.,6.40%,53.20%,46.80%,53.20%,53.20%,46.80%
Partial student loan forgiveness (means-tested),Democratic,,132,,-6,46,53,53,46,53,0.75,"Some Democrats in Congress have proposed spending $0.5 trillion to cancel up to $10,000 in student loan debt for Americans earning under $125,000. Under this policy, qualifying borrowers would receive partial loan forgiveness.",it would provide relief to millions of hardworking Americans struggling with student debt.,education is a right and no one should have to be burdened with debt to get a degree.,"it would cost taxpayers far too much money, while being unfair to those who already paid off their loans.","that with inflation already too high, we shouldn't be spending a trillion dollars to pay back loans that people took out voluntarily.",it would provide relief to millions of hardworking Americans struggling with student debt.,education is a right and no one should have to be burdened with debt to get a degree.,"it would cost taxpayers far too much money, while being unfair to those who already paid off their loans.","that with inflation already too high, we shouldn't be spending a trillion dollars to pay back loans that people took out voluntarily.",-6.60%,46.70%,53.30%,53.30%,46.70%,53.30%
